127.0.0.1 - - [28/May/2021:21:41:25 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/May/2021:21:41:26 +0530] "GET /spicestore/home.jsp HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [28/May/2021:21:41:26 +0530] "GET /spicestore/css/style.css HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [28/May/2021:21:41:26 +0530] "GET /spicestore/image/chilli.jpg HTTP/1.1" 200 78853
0:0:0:0:0:0:0:1 - - [28/May/2021:21:41:26 +0530] "GET /spicestore/image/spice.jpg HTTP/1.1" 200 384867
0:0:0:0:0:0:0:1 - - [28/May/2021:21:41:26 +0530] "GET /spicestore/image/location.JPG HTTP/1.1" 200 8774
0:0:0:0:0:0:0:1 - - [28/May/2021:21:43:06 +0530] "GET /spicestore/home.jsp HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [28/May/2021:21:43:06 +0530] "GET /spicestore/css/style.css HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [28/May/2021:21:43:06 +0530] "GET /spicestore/image/chilli.jpg HTTP/1.1" 200 78853
0:0:0:0:0:0:0:1 - - [28/May/2021:21:43:06 +0530] "GET /spicestore/image/location.JPG HTTP/1.1" 200 8774
0:0:0:0:0:0:0:1 - - [28/May/2021:21:43:06 +0530] "GET /spicestore/image/spice.jpg HTTP/1.1" 200 384867
0:0:0:0:0:0:0:1 - - [28/May/2021:21:43:06 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [28/May/2021:21:43:14 +0530] "GET /spicestore/adminlogin.jsp HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [28/May/2021:21:43:14 +0530] "GET /spicestore/js/ValidateForm.js HTTP/1.1" 200 1108
0:0:0:0:0:0:0:1 - - [28/May/2021:21:43:14 +0530] "GET /spicestore/css/login/main.css HTTP/1.1" 200 10401
0:0:0:0:0:0:0:1 - - [28/May/2021:21:43:14 +0530] "GET /spicestore/css/login/util.css HTTP/1.1" 200 86814
0:0:0:0:0:0:0:1 - - [28/May/2021:21:43:14 +0530] "GET /spicestore/css/fonts/poppins/Poppins-Bold.ttf HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [28/May/2021:21:43:14 +0530] "GET /spicestore/css/fonts/poppins/Poppins-Regular.ttf HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [28/May/2021:21:43:14 +0530] "GET /spicestore/css/fonts/poppins/Poppins-Medium.ttf HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [28/May/2021:21:45:17 +0530] "POST /spicestore/AdminValidate.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:45:17 +0530] "GET /spicestore/admin.jsp HTTP/1.1" 200 1021
0:0:0:0:0:0:0:1 - - [28/May/2021:21:45:17 +0530] "GET /spicestore/css/admin.css HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [28/May/2021:21:45:17 +0530] "GET /spicestore/css/indexb.jpg HTTP/1.1" 200 117137
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:05 +0530] "GET /spicestore/prodadd.jsp HTTP/1.1" 200 1644
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:05 +0530] "GET /spicestore/css/managepro.css HTTP/1.1" 200 1204
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:05 +0530] "GET /spicestore/js/ValidateForm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:05 +0530] "GET /spicestore/css/managepro.jpg HTTP/1.1" 200 70944
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:11 +0530] "GET /spicestore/prodedit.jsp HTTP/1.1" 200 4063
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:12 +0530] "GET /spicestore/css/prodedit.css HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:12 +0530] "GET /spicestore/css/prodedit.jpg HTTP/1.1" 200 297524
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:24 +0530] "GET /spicestore/cusedit.jsp HTTP/1.1" 200 3866
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:24 +0530] "GET /spicestore/css/cusedit.css HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:24 +0530] "GET /spicestore/css/customeredit.jpg HTTP/1.1" 200 181098
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:30 +0530] "GET /spicestore/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:30 +0530] "GET /spicestore/home.jsp?&frm=logout&msg=Logged%20Out%20Succeessfully HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:30 +0530] "GET /spicestore/image/chilli.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:30 +0530] "GET /spicestore/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:30 +0530] "GET /spicestore/image/location.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:30 +0530] "GET /spicestore/image/spice.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:34 +0530] "GET /spicestore/custlogin.jsp HTTP/1.1" 200 1535
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:34 +0530] "GET /spicestore/css/login/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:34 +0530] "GET /spicestore/css/login/util.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:35 +0530] "GET /spicestore/css/fonts/poppins/Poppins-Bold.ttf HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:35 +0530] "GET /spicestore/css/fonts/poppins/Poppins-Regular.ttf HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [28/May/2021:21:46:35 +0530] "GET /spicestore/css/fonts/poppins/Poppins-Medium.ttf HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:02 +0530] "POST /spicestore/CustValidate.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:02 +0530] "GET /spicestore/customer.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:02 +0530] "GET /spicestore/css/customer.css HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:08 +0530] "GET /spicestore/userviewproduct.jsp HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:08 +0530] "GET /spicestore/css/userviewproduct.css HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:10 +0530] "GET /spicestore/customer.jsp? HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:12 +0530] "GET /spicestore/cart.jsp HTTP/1.1" 200 1631
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:12 +0530] "GET /spicestore/css/cart.css HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:15 +0530] "GET /spicestore/userviewproduct.jsp?netamt= HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:17 +0530] "GET /spicestore/customer.jsp? HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:17 +0530] "GET /spicestore/css/indexb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:19 +0530] "GET /spicestore/customerorders.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:19 +0530] "GET /spicestore/css/myorders.css HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:19 +0530] "GET /spicestore/css/myod.jpg HTTP/1.1" 200 71167
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:21 +0530] "GET /spicestore/customer.jsp? HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:24 +0530] "GET /spicestore/userviewproduct.jsp HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:26 +0530] "GET /spicestore/cart.jsp? HTTP/1.1" 200 1631
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:27 +0530] "GET /spicestore/userviewproduct.jsp?netamt= HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:32 +0530] "GET /spicestore/customer.jsp? HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:34 +0530] "GET /spicestore/cart.jsp HTTP/1.1" 200 1631
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:37 +0530] "GET /spicestore/cartaction.jsp?netamt= HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:41 +0530] "GET /spicestore/userviewproduct.jsp?netamt= HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:54 +0530] "GET /spicestore/viewaction.jsp?prodid=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:54 +0530] "GET /spicestore/userviewproduct.jsp?&frm=Cartform&msg=Item%20Added%20To%20Cart HTTP/1.1" 200 2817
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:59 +0530] "GET /spicestore/viewaction.jsp?prodid=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:59 +0530] "GET /spicestore/userviewproduct.jsp?&frm=Cartform&msg=Item%20Added%20To%20Cart HTTP/1.1" 200 2817
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:02 +0530] "GET /spicestore/cart.jsp? HTTP/1.1" 200 2787
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:19 +0530] "GET /spicestore/cartaction.jsp?orderid=4&pid=1&mrp=15.0&qty=2&subtotal=30&pid=2&mrp=45.0&qty=5&subtotal=225&netamt=255 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:19 +0530] "GET /spicestore/customer.jsp?&frm=cartaction&msg=Thank%20you%20for%20placing%20your%20order HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:31 +0530] "GET /spicestore/customerorders.jsp HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:35 +0530] "GET /spicestore/cviewitems.jsp?&orderid=4 HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:35 +0530] "GET /spicestore/css/viewitems.css HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:37 +0530] "GET /spicestore/customerorders.jsp?orderid=4 HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:43 +0530] "GET /spicestore/customer.jsp?status=orderplaced HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:46 +0530] "GET /spicestore/logout.jsp HTTP/1.1" 302 -
